BOROUGH,HOUSE,STREET,STREETON,RACKS,RACKTYPE,WORKTYPE,WORKDATE,X,Y
1,27,W 116 ST,W 116 ST,3,Circular,Install,998811,231323
1,14,W 118 ST,,3,Large,Install,998917,231543
1,1274,5 AV,,1,Small,Install,998232,229244
1,1691,MADISON AV,,2,Small,Install,999046,229732
1,1786,3 AV,E 99 ST,1,Circular,Install,998606,226136
1,2137,2 AV,E 110 ST,1,Circular,Install,1000614,228268
1,2155,2 AV,111 ST,1,Circular,Install,1000736,228497
1,286,LENOX AV,LENOX AV 1,,Small,Install,999363,233366
1,2350,5 AV,5 AV 2,,Circular,Install,1002255,236931
1,235,W 102 ST,1,,Small,Install,992735,230328
1,1028,AMSTERDAM AV,1,,Large,Install,994252,232048
1,3157,BROADWAY,BROADWAY 1,,Circular,Install,995486,236156
1,345,W 145 ST,W 145 ST 2,,Circular,Install,999724,239536
1,750,ST NICHOLAS AV,ST NICHOLAS AV 2,,Circular,Install,999975,240084
1,377,EDGECOMBE AV,1,,Small,Install,1000601,241004
1,516,W 145 ST,W 145 ST 1,,Circular,Install,998440,239995
1,501,W 165 ST,W 165 ST 1,,Small,Install,1001239,244702
1,3956,BROADWAY,1,,Small,Install,1000727,245071
1,501,W 168 ST,W 168 ST 1,,Circular,Install,1001652,245374
1,3793,BROADWAY,BROADWAY 1,,Circular,Install,999457,243332
1,161,FT WASHINGTON AV,3,,Circular,Install,999883,245761
1,180,WADSWORTH AV,WADSWORTH AV 2,,Circular,Install,1002322,249211
1,348,DYCKMAN ST,DYCKMAN ST 10,,Circular,Install,1003025,255776
1,209,PINEHURST AV,PINEHURST AV 1,,Circular,Install,1001513,250836
2,977,FOX ST,FOX ST 5,,Circular,Install,1013486,238791
2,300,E TREMONT AV,ANTHONY AV 1,,Circular,Install,1011028,248396
2,309,E TREMONT AV,1,,Circular,Install,1011121,248560
2,1927,UNIVERSITY AV,W BURNSIDE AV 1,,Circular,Install,1008311,250234
2,363,E 180 ST,WEBSTER AV 1,,Circular,Install,1012307,249744
2,1,E 183 ST,JEROME AV 1,,Circular,Install,1011005,252149
2,3874,SEDGWICK AV,1,,Small,Install,1013578,260892
2,2780,RESERVOIR AV,RESERVOIR AV 1,,Circular,Install,1012718,255917
2,2881,SEDGWICK AV,1,,Large,Install,1011450,258083
2,185,W 231 ST,1,,Small,Install,1010818,259517
2,4235,KATONAH AV,1,,Small,Install,1020926,266026
2,2819,MIDDLETOWN RD,1,,Large,Install,1029639,246685
2,2801,MIDDLETOWN RD,1,,Large,Install,1029554,246682
2,3438,BOSTON RD,1,,Small,Install,1025958,258422
2,131,EINSTEIN LO E,1,,Small,Install,1033236,254403
2,3467,E TREMONT AV,1,,Small,Install,1032128,242426
2,3037,CROSS BX SVC RD N,CROSS BX SVC RD N1,,Circular,Install,1034430,239071
2,3528,E TREMONT AV,1,,Small,Install,1032208,241945
2,3630,E TREMONT AV,,1,Small,Install,1032924,240966
2,3660,E TREMONT AV,,1,Small,Install,1033069,240793
2,316,CITY ISLAND AV,CITY ISLAND AV,1,Circular,Install,1043376,248140
2,541,W 235 ST,W 235 ST,3,Mini‐Hoop,Install,1009363,262012
2,555,W 235 ST,W 235 ST,1,Mini‐Hoop,Install,1009255,261993
2,557,W 235 ST,W 235 ST,1,Mini‐Hoop,Install,1009217,262002
3,18,BRIDGE ST,BRIDGE ST,4,Circular,Install,988421,195820
3,1,MAIN ST,,5,Circular,Install,986961,195599
3,1,MAIN ST,PLYMOUTH AV,1,Circular,Install,986961,195599
3,54,PEARL ST,PEARL ST,1,Circular,Install,987624,195518
3,50,JAY ST,,2,Circular,Install,987874,195597
3,215,PLYMOUTH ST,PLYMOUTH ST,1,Circular,Install,988440,195608
3,43,FRONT ST,FRONT ST,1,Circular,Install,986670,195323
3,68,JAY ST,JAY ST,1,Circular,Install,987813,195318
3,70,JAY ST,JAY ST,2,Circular,Install,987813,195318
3,108,JAY ST,JAY ST,1,Circular,Install,987824,195030
3,237,NASSAU ST,NASSAU ST,5,Circular,Install,989315,193947
3,345,ADAMS ST,ADAMS ST,4,Circular,Install,987454,191651
3,68,NEVINS ST,,1,Circular,Install,989114,189424
3,97,BOERUM PL,,2,Circular,Install,986840,190200
3,494,ATLANTIC AV,,1,Large,Install,989249,189033
3,147,MONTAGUE ST,MONTAGUE ST,1,Small,Install,986089,192398
3,141,MONTAGUE ST,MONTAGUE ST,1,Small,Install,986013,192426
3,193,MONTAGUE ST,MONTAGUE ST,1,Circular,Install,986666,192245
3,78,MONTAGUE ST,,1,Small,Install,985262,192529
3,148,MONTAGUE ST,,1,Small,Install,986076,192233
3,158,MONTAGUE ST,,1,Small,Install,986193,192191
3,188,MONTAGUE ST,,2,Large,Install,986593,192036
3,168,MONTAGUE ST,MONTAGUE ST,1,Small,Install,986353,192079
3,111,LIVINGSTON ST,LIVINGSTON ST,1,Large,Install,987070,191205
3,111,LIVINGSTON ST,LIVINGSTON ST,1,Small,Install,987070,191205
3,47,CARROLL ST,,1,Small,Install,983143,188247
3,51,CARROLL ST,,1,Small,Install,983143,188247
3,57,CARROLL ST,,1,Small,Install,983143,188247
3,34,CARROLL ST,,1,Small,Install,983057,187962
3,40,CARROLL ST,,1,Small,Install,983057,187962
3,46,CARROLL ST,,1,Small,Install,983057,187962
3,50,CARROLL ST,,1,Small,Install,983057,187962
3,71,SUMMIT ST,,1,Small,Install,983057,187962
3,317,HOYT ST,HOYT ST,4,Circular,Install,986707,187077
3,305,NEVINS ST,UNION ST,8,Circular,Install,987778,186614
3,461,COURT ST,COURT ST,1,Small,Install,984771,186014
3,457,COURT ST,COURT ST,4,Small,Install,984809,186036
3,228,VAN BRUNT ST,,2,Large,Install,981807,187415
3,379,COLUMBIA ST,,1,Small,Install,982771,186625
3,318,VAN BRUNT ST,,1,Small,Install,981170,186730
3,320,VAN BRUNT ST,,2,Small,Install,981153,186711
3,289,VAN BRUNT ST,,2,Large,Install,981262,186610
3,322,VAN BRUNT ST,,1,Large,Install,981089,186641
3,305,VAN BRUNT ST,,1,Small,Install,981130,186449
3,293,VAN BRUNT ST,PIONEER ST,1,Small,Install,981195,186537
3,116,SULLIVAN ST,,1,Small,Install,980657,186506
3,173,CONOVER ST,CONOVER ST,4,Circular,Install,980301,186220
3,376,VAN BRUNT ST,,1,Small,Install,980527,186011
3,351,VAN BRUNT ST,,2,Small,Install,980661,185924
3,347,VAN BRUNT ST,,1,Small,Install,980695,185963
3,388,VAN BRUNT ST,,1,Small,Install,980400,185848
